Ad Technology Provider,Privacy URL
Google,https://www.google.com/policies/technologies/partner-sites/
OTTO,https://www.otto.de/shoppages/service/datenschutz
TrustArc,https://www.trustarc.com/privacy-policy/
usemax (Emego GmbH),http://www.usemax.de/?l=privacy
OpenX Technologies,https://www.openx.com/legal/privacy-policy/
GfK,https://sensic.net/
SpotX,https://www.spotx.tv/privacy-policy/
gskinner,https://createjs.com/legal/privacy.html
AdLedge,https://adledge.com/data-privacy/
EASYmedia,https://www.rvty.net/gdpr
MainADV,http://www.mainad.com/privacy-policy
DTS,https://client.adhslx.com/privacy.html
Optomaton,http://optomaton.com/privacy.html
Cint,https://www.cint.com/participant-privacy-notice/
ZMS,https://zms.zalando.com/#
MSI-ACI,http://site.msi-aci.com/Home/FlexTrackPrivacy
Smaato,https://www.smaato.com/privacy/
UnrulyX,https://unruly.co/legal/gdpr/
Lotame,https://www.lotame.com/about-lotame/privacy/
Adikteev,https://www.adikteev.com/eu/privacy/
Neustar,https://www.home.neustar/privacy
Admedo,https://www.admedo.com/privacy-policy
Fractional Media,https://www.fractionalmedia.com/privacy-policy
The Trade Desk,https://www.thetradedesk.com/general/privacy-policy
Netflix,http://www.netflix.com/google-3PAS-info
Nano Interactive,http://www.nanointeractive.com/privacy
Sojern,https://www.sojern.com/privacy/product-privacy-policy/
Gemius,https://www.gemius.com/cookie-policy.html
PMG,https://www.pmg.com/privacy-policy/
Neural.ONE,https://web.neural.one/privacy-policy/
Objective Partners,https://www.objectivepartners.com/cookie-policy-and-privacy-statement/
Neodata Group,https://www.neodatagroup.com/en/security-policy
Index Exchange,http://www.indexexchange.com/privacy/
Mobitrans,http://www.mobitrans.net/privacy-policy/
TEEMO,https://teemo.co/fr/confidentialite/
AdTriba,https://privacy.adtriba.com/
Admetrics,https://admetrics.io/en/privacy_policy/
Meetrics,https://www.meetrics.com/en/data-privacy/
Rubicon Project,https://rubiconproject.com/rubicon-project-advertising-technology-privacy-policy/
AppNexus (Xandr) Inc,https://www.xandr.com/privacy/
Infectious Media,https://impressiondesk.com/
TabMo,http://static.tabmo.io.s3.amazonaws.com/privacy-policy/index.html
Analights,https://analights.com/docs/analights-consent-to-the-processing-of-personal-data-en.pdf
Travel Data Collective,https://www.yieldr.com/privacy/
DENTSU,http://www.dentsu.co.jp/terms/data_policy.html
Wizaly,https://www.wizaly.com/terms-of-use#privacy-policy
RTB House,https://www.rtbhouse.com/privacy-center/services-privacy-policy/
Adventori,https://www.adventori.com/fr/avec-nous/mentions-legales/
